doc_id,protect,exeed_limit,logout,query,correct,delete,repeal,recommand,aging,storage_region,storage_time,subject,data,purpose,explain,result
496,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
497,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
498,1,0,1,0,0,1,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
502,1,1,1,1,1,1,0,0,1,1,0,0,1,1,"不合规，缺少Right to Withdraw (RW), User Portrait (UP), Data Retention Period (DRP), User Portrait (UP)",False
503,1,1,0,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Right to Account Cancellation (RAC), Policy Duration (PD)",False
506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
507,1,0,0,1,1,1,0,1,1,0,1,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC)",False
508,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
510,1,1,1,1,1,1,0,1,1,1,1,1,1,1,不合规，缺少Right to Withdraw (RW),False
511,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
514,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
515,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
516,1,1,1,0,1,0,0,1,0,1,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Delete (RD), Right to Withdraw (RW), Policy Duration (PD)",False
517,1,0,1,0,1,1,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
518,1,0,0,0,0,0,1,0,0,0,0,1,1,0,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
519,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
